data,ponto,manganes_total,turbidez,periodo,rompimento,ferro_dissolvido,intervalo
2018-07-24 11:15:00,RD011,0.0440070063,9.12,Estiagem,Depois,0.1645457077,46 days 18:55:00
2018-07-24 12:00:00,RD071,0.1029952703,7.86,Estiagem,Depois,0.1447026855,0 days 00:45:00
2018-07-25 17:25:00,RD045,0.0153343672,4.7,Estiagem,Depois,0.127998097,1 days 05:25:00
2018-07-27 14:00:00,RD035,0.3316939435,66.9,Estiagem,Depois,0.0914184085,1 days 20:35:00
2018-07-27 18:10:00,RD067,0.0156177783,6.53,Estiagem,Depois,0.0390329169,0 days 04:10:00
2018-08-06 16:30:00,RD011,0.120036018,28.1,Estiagem,Depois,0.2194455549,9 days 22:20:00
2018-08-06 17:20:00,RD071,0.1369558055,18.4,Estiagem,Depois,0.2081472464,0 days 00:50:00
2018-08-07 17:20:00,RD035,0.1725101694,48.4,Estiagem,Depois,0.1719625195,1 days 00:00:00
2018-08-08 17:15:00,RD045,0.0354347403,9.57,Estiagem,Depois,0.1030822177,0 days 23:55:00
2018-08-09 16:30:00,RD067,0.0087349406,4.1,Estiagem,Depois,0.0386030667,0 days 23:15:00
2018-09-10 15:00:00,RD011,0.0330266081,5.97,Estiagem,Depois,0.1657242791,31 days 22:30:00
2018-09-10 15:45:00,RD071,0.0565762339,7.54,Estiagem,Depois,0.151734699,0 days 00:45:00
2018-09-11 15:30:00,RD035,0.0689157086,14.7,Estiagem,Depois,0.1359700773,0 days 23:45:00
2018-09-12 17:50:00,RD045,0.0376810518,19.3,Estiagem,Depois,0.1013627045,1 days 02:20:00
2018-09-13 16:10:00,RD067,0.0106329427,5.84,Estiagem,Depois,0.0506998009,0 days 22:20:00
2018-10-09 11:15:00,RD011,0.041,7.2,Chuvoso,Depois,0.228,25 days 19:05:00
2018-10-09 12:00:00,RD071,0.1061,10.0,Chuvoso,Depois,0.217,0 days 00:45:00
2018-10-12 14:00:00,RD035,0.1455663956,15.6,Chuvoso,Depois,0.0961,3 days 02:00:00
2018-10-17 17:25:00,RD045,0.0293,11.5,Chuvoso,Depois,0.0636,5 days 03:25:00
2018-10-19 18:25:00,RD067,0.0112,8.18,Chuvoso,Depois,0.0528,2 days 01:00:00
2018-11-05 14:15:00,RD011,0.6430174385,84.4,Chuvoso,Depois,0.2122786698,16 days 19:50:00
2018-11-05 14:55:00,RD071,0.4028929752,47.3,Chuvoso,Depois,0.247760539,0 days 00:40:00
2018-11-06 14:05:00,RD035,0.1633592989,57.8,Chuvoso,Depois,0.4431495205,0 days 23:10:00
2018-11-07 15:25:00,RD045,0.0403916291,31.7,Chuvoso,Depois,0.2949062681,1 days 01:20:00
2018-11-08 14:00:00,RD067,0.0218598286,41.5,Chuvoso,Depois,0.2830139256,0 days 22:35:00
2018-12-10 14:30:00,RD011,0.2172357821,51.7,Chuvoso,Depois,0.2772230494,32 days 00:30:00
2018-12-10 15:10:00,RD071,0.1997396052,45.4,Chuvoso,Depois,0.208063118,0 days 00:40:00
2018-12-11 14:10:00,RD035,0.2887867876,163.0,Chuvoso,Depois,0.3855680986,0 days 23:00:00
2018-12-12 13:55:00,RD045,0.109372203,164.0,Chuvoso,Depois,0.2641562213,0 days 23:45:00
2018-12-13 15:00:00,RD067,0.0389019281,102.0,Chuvoso,Depois,0.4364262821,1 days 01:05:00
2019-01-15 10:30:00,RD011,0.0918199143,19.4,Chuvoso,Depois,0.3321887154,32 days 19:30:00
2019-01-15 11:00:00,RD071,0.1027860924,24.4,Chuvoso,Depois,0.3058326797,0 days 00:30:00
2019-01-18 12:00:00,RD035,0.095939982,45.7,Chuvoso,Depois,0.3679151779,3 days 01:00:00
2019-01-23 17:00:00,RD045,0.0259398444,14.3,Chuvoso,Depois,0.3838872895,5 days 05:00:00
2019-01-25 17:40:00,RD067,0.0347159861,11.8,Chuvoso,Depois,0.3392100913,2 days 00:40:00
2019-02-25 18:30:00,RD011,0.2053023559,34.1,Chuvoso,Depois,0.2695191782,31 days 00:50:00
2019-02-25 19:00:00,RD071,0.1441798624,24.7,Chuvoso,Depois,0.3077611103,0 days 00:30:00
2019-02-26 19:00:00,RD035,0.1533584465,55.7,Chuvoso,Depois,0.2968147304,1 days 00:00:00
2019-02-27 17:00:00,RD045,0.044323694,44.4,Chuvoso,Depois,0.3185384825,0 days 22:00:00
2019-02-28 16:30:00,RD067,0.0258195789,54.8,Chuvoso,Depois,0.2335029946,0 days 23:30:00
